,日期,股票代码,股票名称,区间日均总市值 [起始交易日期]截止日3月前 [单位]元,月收盘价 [复权方式]前复权,当月成交均价 [复权方式]前复权,月换手率 [单位]%,月振幅 [单位]%,融资融券差额 [单位]元
0,2019-09-30,000001.SZ,平安银行,252716068662.2,15.2065892058,14.521356301184,13.99,13.6299,3466585414.0
1,2019-12-31,000001.SZ,平安银行,315715509160.62,16.045438899,15.60357970014,7.814,11.2492,3463123928.0
2,2020-03-31,000001.SZ,平安银行,290118477060.1,12.485204736,13.402991426757,13.699,25.7241,3028232558.0
3,2020-06-30,000001.SZ,平安银行,255585486561.86,12.700130048,12.998950217262,9.414,10.4615,3617989782.0
4,2019-09-30,000002.SZ,万科A,314481259607.21,23.620065735,24.260889974022,9.953,8.5271,2880204271.0
5,2019-12-31,000002.SZ,万科A,314708171862.85,29.347247697,26.931409924196,19.465,17.4729,3619026796.0
6,2020-03-31,000002.SZ,万科A,331957349261.57,23.3920728225,25.836239751014,20.92,28.7935,3380239752.0
7,2020-06-30,000002.SZ,万科A,297841686663.1,23.838938931,23.847962890477,15.681,9.7665,4895296605.0
8,2019-09-30,000006.SZ,深振业A,7205027406.27,4.7044367207,5.046350131072,18.805,13.9623,644101840.0
9,2019-12-31,000006.SZ,深振业A,7006256547.6,5.0130776984,4.920128299827,13.96,7.4219,559144195.0
10,2020-03-31,000006.SZ,深振业A,6628018050.42,4.1900350912,4.418463424723,25.263,16.8467,507318643.0
11,2020-06-30,000006.SZ,深振业A,6853991241.74,6.5635428312,5.334845720049,62.66,42.4116,588860777.0
12,2020-06-30,000008.SZ,神州高铁,8542512129.29,2.94,2.95438,10.571,5.0167,330332354.0
13,2020-03-31,000008.SZ,神州高铁,9398616948.23,3.12942762,3.3452349057,47.613,22.4359,362192810.0
14,2019-09-30,000008.SZ,神州高铁,10064340079.18,3.41845119,3.651897520755,33.011,24.5665,373824115.0
15,2019-12-31,000008.SZ,神州高铁,9811722417.6,3.61777779,3.622760955,27.075,11.9658,386269984.0
16,2019-09-30,000009.SZ,中国宝安,12000751910.9,4.3942865085,4.710142043397,17.468,12.3913,1149112452.0
17,2019-12-31,000009.SZ,中国宝安,12194274025.17,6.1679441015,4.929812435016,58.826,47.8747,1367191226.0
18,2020-03-31,000009.SZ,中国宝安,17995481842.24,5.859048678,6.82297451114,82.244,32.5236,1191412118.0
19,2020-06-30,000009.SZ,中国宝安,17748797476.85,8.4796775935,7.445714931729,63.701,25.942,1324623706.0
20,2020-06-30,000012.SZ,南玻A,14279890361.22,4.8996950976,4.638830255222,22.458,11.6484,451435733.0
21,2019-09-30,000012.SZ,南玻A,13087418582.33,4.1188671936,4.278136565318,16.0,14.1827,454963301.0
22,2019-12-31,000012.SZ,南玻A,13957806059.72,4.8899347488,4.54559851618,22.13,17.3913,465928937.0
23,2020-03-31,000012.SZ,南玻A,15355542671.04,4.2847931232,4.864881708039,45.618,31.8182,467558544.0
24,2020-06-30,000016.SZ,深康佳A,17876823556.08,6.6113788988,6.808805822085,76.629,12.6332,1003810663.0
25,2020-03-31,000016.SZ,深康佳A,19086028305.95,8.1664221605,9.885193962304,343.178,58.4886,1045693736.0
26,2019-09-30,000016.SZ,深康佳A,10172272762.81,4.107661446,4.329822359278,25.362,12.7273,98388175.0
27,2019-12-31,000016.SZ,深康佳A,10131624493.31,4.2739239331,4.21817709919,39.977,18.6104,266797679.0
28,2019-09-30,000021.SZ,深科技,14583575501.24,11.0012361396,12.286967311718,153.155,32.0442,631197325.0
29,2019-12-31,000021.SZ,深科技,15673183614.1,12.0390886056,11.029451349498,81.716,39.0805,1013221278.0
30,2020-03-31,000021.SZ,深科技,24696709286.91,17.001011824,18.045199233624,119.683,24.7559,1380934588.0
31,2020-06-30,000021.SZ,深科技,31918610095.2,21.6350893169,23.087384178731,68.576,16.3483,2091401189.0
